country_code,postal_code_clean,city_raw,city_normalized,city_normalization_confidence,city_normalization_method,city_normalization_note,admin_region,admin_district,latitude,longitude,geonames_places_count,geonames_place_names
CZ,79855,Vojtěchov,Vojtěchov,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Prostějov,49.645589,16.895622,9,Vojtěchov | Polomí | Milkov | Ospělov | Ludmírov | Hačky | Hvozd | Otročkov | Dětkovice
CZ,79856,Bohuslavice,Bohuslavice,0.95,unchanged_single_place,Single GeoNames place kept as normalized city,Olomoucký kraj,Prostějov,49.6209,16.9575,1,Bohuslavice
CZ,79857,Dvorek,Dvorek,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Prostějov,49.591171,16.981,7,Dvorek | Laškov | Krakovec | Pěnčín | Kandia | Rakůvka | Raková u Konice
CZ,79858,Čechy pod Kosířem,Čechy pod Kosířem,0.95,unchanged_single_place,Single GeoNames place kept as normalized city,Olomoucký kraj,Prostějov,49.551,17.0377,1,Čechy pod Kosířem
CZ,79861,Repechy,Repechy,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Prostějov,49.438683,16.867867,6,Repechy | Bousín | Drahany | Otinoves | Baldovec | Niva
CZ,79862,Rozstání,Rozstání,0.95,unchanged_single_place,Single GeoNames place kept as normalized city,Olomoucký kraj,Prostějov,49.3977,16.8403,1,Rozstání
HU,1007,Budapest,Budapest,1.0,exact_major_city,GeoNames place name already equals normalized major city,Budapest,,47.4984,19.0404,1,Budapest
HU,1011,Budapest,Budapest,1.0,exact_major_city,GeoNames place name already equals normalized major city,Budapest,,47.4984,19.0404,1,Budapest
HU,1012,Budapest,Budapest,1.0,exact_major_city,GeoNames place name already equals normalized major city,Budapest,,47.4984,19.0404,1,Budapest
HU,1013,Budapest,Budapest,1.0,exact_major_city,GeoNames place name already equals normalized major city,Budapest,,47.4984,19.0404,1,Budapest
HU,1014,Budapest,Budapest,1.0,exact_major_city,GeoNames place name already equals normalized major city,Budapest,,47.4984,19.0404,1,Budapest
HU,1015,Budapest,Budapest,1.0,exact_major_city,GeoNames place name already equals normalized major city,Budapest,,47.4984,19.0404,1,Budapest
HU,1016,Budapest,Budapest,1.0,exact_major_city,GeoNames place name already equals normalized major city,Budapest,,47.4984,19.0404,1,Budapest
